Date : 2026-02-01 08:36:41
Directory : c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard
Total : 116 files,  17151 codes, 508 comments, 1758 blanks, all 19417 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\Pages\LandingPage.jsx                                        | JavaScript JSX |        257 |          9 |         19 |        285 |
| c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\Pages\LoginPage.jsx                                          | JavaScript JSX |         96 |          0 |         14 |        110 |
| c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\Pages\NotFoundPage.jsx                                       | JavaScript JSX |         44 |          0 |          4 |         48 |
| c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\Pages\PrivacyPolicy.jsx                                      | JavaScript JSX |         45 |          0 |         11 |         56 |
| c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\Pages\ReportProblemPage.jsx                                  | JavaScript JSX |        118 |          9 |         19 |        146 |
| c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\Pages\ReportsPage.jsx                                        | JavaScript JSX |        299 |         15 |         48 |        362 |
| c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\Pages\SettingsPage.jsx                                       | JavaScript JSX |        204 |         11 |         22 |        237 |
| c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\Pages\TermsOfService.jsx                                     | JavaScript JSX |         49 |          0 |         12 |         61 |
| c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\Styles\PagesStyle\NotFoundPageStyle.css                      | PostCSS        |         76 |          4 |         10 |         90 |
| c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\assets\unknownUser.svg                                       | XML            |          5 |          0 |          1 |          6 |
| c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\BudgetAlertManager.jsx                            | JavaScript JSX |         44 |          1 |         10 |         55 |
| c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\DebtsPageComponents\AddDebtModal.jsx              | JavaScript JSX |         80 |          1 |         11 |         92 |
| c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\DebtsPageComponents\ConfirmationModal.jsx         | JavaScript JSX |         32 |          0 |          5 |         37 |
| c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\DebtsPageComponents\DebtCard.jsx                  | JavaScript JSX |         72 |          5 |         12 |         89 |
| c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\DebtsPageComponents\DebtHistoryModal.jsx          | JavaScript JSX |        176 |          4 |         23 |        203 |
| c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\DebtsPageComponents\DebtsTable.jsx                | JavaScript JSX |        159 |         14 |         31 |        204 |
| c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\ExpensePageComponents\ExpenseTable.jsx            | JavaScript JSX |        274 |          0 |         35 |        309 |
| c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\HomePageComponents\BillsList.jsx                  | JavaScript JSX |         44 |          1 |          9 |         54 |
| c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\HomePageComponents\EditableStatCard.jsx           | JavaScript JSX |        119 |          0 |         10 |        129 |
| c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\HomePageComponents\MyCards.jsx                    | JavaScript JSX |        272 |          2 |         23 |        297 |
| c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\HomePageComponents\RecentTransactions.jsx         | JavaScript JSX |         56 |          1 |          4 |         61 |
