"filename", "language", "HTML", "Markdown", "JSON", "JavaScript", "PostCSS", "JavaScript JSX", "XML", "comment", "blank", "total"
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\ExpensePageComponents\ExpenseTable.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 274, 0, 0, 35, 309
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\HomePageComponents\BillsList.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 44, 0, 1, 9, 54
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\HomePageComponents\EditableStatCard.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 119, 0, 0, 10, 129
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\HomePageComponents\MyCards.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 272, 0, 2, 23, 297
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\HomePageComponents\RecentTransactions.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 56, 0, 1, 4, 61
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\HomePageComponents\RightBar\CurrencyRates.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 210, 26, 236
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\HomePageComponents\RightBar\MonthlySpending.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 226, 0, 0, 16, 242
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\HomePageComponents\RightBar\RightSidebar.css", "PostCSS", 0, 0, 0, 0, 86, 0, 0, 13, 14, 113
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\HomePageComponents\RightBar\dreamGoals.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 178, 0, 0, 11, 189
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\HomePageComponents\UpcomingPayments.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 254, 0, 6, 27, 287
