"filename", "language", "HTML", "Markdown", "JSON", "JavaScript", "JavaScript JSX", "PostCSS", "XML", "comment", "blank", "total"
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Icons\BugIcon.jsx", "JavaScript JSX", 0, 0, 0, 0, 26, 0, 0, 1, 3, 30
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\IncomePageComponents\IncomeTable.jsx", "JavaScript JSX", 0, 0, 0, 0, -173, 0, 0, -22, 6, -189
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Notification.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 2, 2
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\NotificationMenu.jsx", "JavaScript JSX", 0, 0, 0, 0, 86, 0, 0, 0, 10, 96
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Onboarding.jsx", "JavaScript JSX", 0, 0, 0, 0, 105, 0, 0, 0, 16, 121
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Onboarding2.jsx", "JavaScript JSX", 0, 0, 0, 0, 179, 0, 0, 0, 19, 198
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Styles\AdminNotificationsStyle.css", "PostCSS", 0, 0, 0, 0, 0, 191, 0, 0, 32, 223
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Styles\AdminUsersStyle.css", "PostCSS", 0, 0, 0, 0, 0, 297, 0, 7, 54, 358
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Styles\AnotherPageStyle\LegalPages.css", "PostCSS", 0, 0, 0, 0, 0, 58, 0, 0, 10, 68
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Styles\AnotherPageStyle\LoginPageStyle.css", "PostCSS", 0, 0, 0, 0, 0, 229, 0, 2, 31, 262
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Styles\DebtsPageStyles\AddDebtModalStyle.css", "PostCSS", 0, 0, 0, 0, 0, 87, 0, 0, 11, 98
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Styles\DebtsPageStyles\ConfirmationModalStyle.css", "PostCSS", 0, 0, 0, 0, 0, 93, 0, 0, 13, 106
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Styles\DebtsPageStyles\DebtCardStyle.css", "PostCSS", 0, 0, 0, 0, 0, 163, 0, 2, 27, 192
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Styles\DebtsPageStyles\DebtHistoryModalStyle.css", "PostCSS", 0, 0, 0, 0, 0, 264, 0, 9, 40, 313
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Styles\DebtsPageStyles\DebtsPageStyle.css", "PostCSS", 0, 0, 0, 0, 0, 226, 0, 2, 38, 266
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Styles\DebtsPageStyles\DebtsTableStyle.css", "PostCSS", 0, 0, 0, 0, 0, 226, 0, 12, 37, 275
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Styles\ExpensePageStyles\ExpensePageStyle.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
