"filename", "language", "JSON", "JavaScript", "Markdown", "XML", "JavaScript JSX", "PostCSS", "HTML", "comment", "blank", "total"
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\HomePageComponents\quickActionsBar.jsx", "JavaScript JSX", 0, 0, 0, 0, 12, 0, 0, 2, 3, 17
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\HomePageComponents\quickInfo.jsx", "JavaScript JSX", 0, 0, 0, 0, 107, 0, 0, 8, 25, 140
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Icons\CloseSideBarIcon.jsx", "JavaScript JSX", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Icons\CustomersIcon.jsx", "JavaScript JSX", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Icons\ExpenseIcon.jsx", "JavaScript JSX", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Icons\Header_Icons\AccountIcon.jsx", "JavaScript JSX", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Icons\Header_Icons\EmailIcon.jsx", "JavaScript JSX", 0, 0, 0, 0, 20, 0, 0, 0, 3, 23
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Icons\Header_Icons\NotificationIcon.jsx", "JavaScript JSX", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Icons\Header_Icons\ThemeIcon.jsx", "JavaScript JSX", 0, 0, 0, 0, 34, 0, 0, 2, 3, 39
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Icons\HomeIcon.jsx", "JavaScript JSX", 0, 0, 0, 0, 5, 0, 0, 0, 0, 5
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Icons\IncomeIcon.jsx", "JavaScript JSX", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Icons\Profit_Icons\DollarIcon.jsx", "JavaScript JSX", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Icons\Profit_Icons\YearlyIncomeIcone.jsx", "JavaScript JSX", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Icons\Profit_Icons\bankIcon.jsx", "JavaScript JSX", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Icons\Profit_Icons\walletIcon.jsx", "JavaScript JSX", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Icons\ReportIcon.jsx", "JavaScript JSX", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Icons\SettingsIcon.jsx", "JavaScript JSX", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\IncomePageComponents\IncomeTable.jsx", "JavaScript JSX", 0, 0, 0, 0, 529, 0, 0, 22, 34, 585
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Notification.jsx", "JavaScript JSX", 0, 0, 0, 0, 156, 0, 0, 5, 15, 176
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\ReportsPageComponents\ReportPDF.jsx", "JavaScript JSX", 0, 0, 0, 0, 46, 0, 0, 5, 13, 64
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\ReportsPageComponents\ReportsCharts.jsx", "JavaScript JSX", 0, 0, 0, 0, 142, 0, 0, 4, 16, 162
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Styles\BillsListStyle.css", "PostCSS", 0, 0, 0, 0, 0, 113, 0, 3, 17, 133
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Styles\HomePageStyle.css", "PostCSS", 0, 0, 0, 0, 0, 66, 0, 1, 12, 79
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Styles\MyCardsStyle.css", "PostCSS", 0, 0, 0, 0, 0, 110, 0, 1, 17, 128
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Styles\PagesStyle\DebtsPageStyle.css", "PostCSS", 0, 0, 0, 0, 0, 15, 0, 0, 3, 18
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Styles\PagesStyle\ExpensePageStyle.css", "PostCSS", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Styles\PagesStyle\IncomePageStyle.css", "PostCSS", 0, 0, 0, 0, 0, 215, 0, 4, 34, 253
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Styles\PagesStyle\LegalPages.css", "PostCSS", 0, 0, 0, 0, 0, 44, 0, 0, 8, 52
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Styles\PagesStyle\LoginPageStyle.css", "PostCSS", 0, 0, 0, 0, 0, 196, 0, 2, 26, 224
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Styles\PagesStyle\ReportPageStyle.css", "PostCSS", 0, 0, 0, 0, 0, 142, 0, 4, 23, 169
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Styles\PagesStyle\SettingsPageStyle.css", "PostCSS", 0, 0, 0, 0, 0, 277, 0, 13, 48, 338
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Styles\RecentTransactionsStyle.css", "PostCSS", 0, 0, 0, 0, 0, 127, 0, 5, 20, 152
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Styles\UpcomingPaymentsStyle.css", "PostCSS", 0, 0, 0, 0, 0, 414, 0, 11, 61, 486
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Styles\analyticsStyle.css", "PostCSS", 0, 0, 0, 0, 0, 29, 0, 4, 1, 34
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Styles\headerStyle.css", "PostCSS", 0, 0, 0, 0, 0, 88, 0, 0, 13, 101
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Styles\quickInfoStyle.css", "PostCSS", 0, 0, 0, 0, 0, 86, 0, 1, 15, 102
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Styles\sideBarStyle.css", "PostCSS", 0, 0, 0, 0, 0, 96, 0, 3, 17, 116
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Styles\tipBox.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\TipBox.jsx", "JavaScript JSX", 0, 0, 0, 0, 10, 0, 0, 0, 5, 15
